지식기술번호,지식기술명
1328,"기획의도에 따라 제작 공정을 설계하며 콘텐츠의 양방향성과 현실감을 강조하기 위해 2D, 3D 요소를 활용하여 편집과 영상 합성 작업을 함으로써 콘텐츠의 완성시키는 능력"
1329,모션캡쳐 장비에서 획득된 모션 데이터 및 키프레임을 활용하여 3D 모델 애니메이션을 제작 및 편집할 수 있는 기술
1330,3차원 영상 연출 능력
1331,촬영에 필요한 사항(리소스)을 확인하고 배치하는 등 사전작업을 하는 능력
1332,매체별 특성과 제작 동향을 이해하며 촬영현장의 상황을 분석하여 적정 조명장비를 사용함으로써 창의적이고 예술적인 영상을 표현하는 능력
1333,증강현실 콘텐츠에서 활용될 3D 오브젝트를 스캔 및 촬영하기 위한 스캐너의 종류와 생성된 객체에 대한 가공 및 저장 방법에 대한 이해와 기술을 습득
1334,"360 영상 색보정 장비, 벡터스코프 및 웨이브 폼 모니터 사용 능력"
1335,가상현실 촬영 장비 운용 및 활용 능력
1336,초고선명도 영상기술방식을 사용하여 사실감과 몰입감을 높이려는 실감 미디어를 구현하는 촬영 제작 능력
1337,2D로 찍히는 실제의 피사체를 실물의 느낌과 가깝게 화면에 입체성(3D)을 만드는 능력
1338,시각적 휴먼 팩터를 고려한 360 영상 촬영 능력
1339,"카메라 촬영을 통해 현실세계의 영상 데이터를 가공하고, 360도 영상 데이터를 생성하는 능력"
1340,"360도, 180도 등의 실사 촬영을 통해 실감형 가상현실을 구현하는 촬영 능력"
1341,3차원 영상 연출 능력
1342,촬영에 필요한 사항(리소스)을 확인하고 배치하는 등 사전작업을 하는 능력
1343,매체별 특성과 제작 동향을 이해하며 촬영현장의 상황을 분석하여 적정 조명장비를 사용함으로써 창의적이고 예술적인 영상을 표현하는 능력
1344,증강현실 콘텐츠에서 활용될 3D 오브젝트를 스캔 및 촬영하기 위한 스캐너의 종류와 생성된 객체에 대한 가공 및 저장 방법에 대한 이해와 기술을 습득
1345,"360 영상 색보정 장비, 벡터스코프 및 웨이브 폼 모니터 사용 능력"
1346,가상현실 촬영 장비 운용 및 활용 능력
1347,초고선명도 영상기술방식을 사용하여 사실감과 몰입감을 높이려는 실감 미디어를 구현하는 촬영 제작 능력
1348,2D로 찍히는 실제의 피사체를 실물의 느낌과 가깝게 화면에 입체성(3D)을 만드는 능력
1349,시각적 휴먼 팩터를 고려한 360 영상 촬영 능력
1350,"카메라 촬영을 통해 현실세계의 영상 데이터를 가공하고, 360도 영상 데이터를 생성하는 능력"
1351,"360도, 180도 등의 실사 촬영을 통해 실감형 가상현실을 구현하는 촬영 능력"
1352,3차원 영상 연출 능력
1353,촬영에 필요한 사항(리소스)을 확인하고 배치하는 등 사전작업을 하는 능력
1354,매체별 특성과 제작 동향을 이해하며 촬영현장의 상황을 분석하여 적정 조명장비를 사용함으로써 창의적이고 예술적인 영상을 표현하는 능력
1355,증강현실 콘텐츠에서 활용될 3D 오브젝트를 스캔 및 촬영하기 위한 스캐너의 종류와 생성된 객체에 대한 가공 및 저장 방법에 대한 이해와 기술을 습득
1356,"360 영상 색보정 장비, 벡터스코프 및 웨이브 폼 모니터 사용 능력"
1357,가상현실 촬영 장비 운용 및 활용 능력
1358,초고선명도 영상기술방식을 사용하여 사실감과 몰입감을 높이려는 실감 미디어를 구현하는 촬영 제작 능력
1359,2D로 찍히는 실제의 피사체를 실물의 느낌과 가깝게 화면에 입체성(3D)을 만드는 능력
1360,시각적 휴먼 팩터를 고려한 360 영상 촬영 능력
1361,"카메라 촬영을 통해 현실세계의 영상 데이터를 가공하고, 360도 영상 데이터를 생성하는 능력"
1362,"360도, 180도 등의 실사 촬영을 통해 실감형 가상현실을 구현하는 촬영 능력"
1363,판단 및 의사결정
1364,계획 및 일정 관리 도구 활용 능력
1365,프로젝트 수행목표를 분할하고 할당하는 능력
1366,창의적 생각
1367,데이터의 특성을 파악하여 관리 작업을 통해 이미지의 품질을 관리하는 능력
1368,"증강현실 콘텐츠, 공간 정보 및 관계 데이터를 저장 및 관리할 수 있도록 데이터베이스 구축 및 시스템 설계, 운영할 수 있는 지식"
1369,"콘텐츠의 특성을 파악하여 데이터베이스 구축, 데이터베이스 인터페이스 관리, 오브젝트 데이터 관리를 수행하는 능력"
1370,"콘텐츠 제공에 필요한 절차인 디지털 저장과 보존, 저작권 관리, 콘텐츠를 배포하는 업무 수행을 통하여 콘텐츠 소비자가 가상현실 콘텐츠를 감상하거나 활용하게 하는 능력"
1371,360도 실사 촬영을 통해 가상현실을 구현하는 제작 능력
1372,인터랙티브 360 영상 제작 능력
1373,"촬영된 가상현실 영상에 특수효과, 색 보정, 가상 객체 삽입을 통하여 최종 가상현실 영상을 제작할 수 있는 기술"
1374,"카메라 촬영을 통해 현실세계의 영상 데이터를 가공하고, 360도 영상 정합/병합과 이질적 혼합현실 객체 증강 및 공간 스캐닝 활용을 통하여 360도 가상현실 공간을 구체화 하는 능력"
1375,모션캡쳐 장비에서 획득된 모션 데이터 및 키프레임을 활용하여 3D 모델 애니메이션을 제작 및 편집할 수 있는 기술
1376,디자인 기법 일반
1377,모바일 및 글라스 기기에 있어 콘텐츠 제어와 조작을 위한 UI/UX 설계 방법과 절차에 대한 이해와 기술을 습득
1378,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 2D 그래픽을 디자인, 제작, 검증하는 능력"
1379,"증강현실 콘텐츠에 필요한 기능을 설계하고 증강현실 구현에 필요한 오브젝트 관련 기능, 2Dㆍ3D 인식ㆍ정합 기능을 통합ㆍ개발하여 증강현실 콘텐츠를 구현하는 능력"
1380,"실제 물리공간안에 있는 2D, 3D 객체를 인식하여 가상 좌표계를 설정하고 가상 객체를 이미지 및 공간에 배치하여 정합할 수 있는 기술"
1381,"증강현실 콘텐츠 이용자에게 몰입감을 제공하기 위해 실제 물리적 공간 또는 물리적 공간내의 객체를 인식하고 그 위에 가상의 2Dㆍ3D 이미지, 영상의 합성을 통해 3차원 공간에 가상물체가 이질감 없이 부드럽게 일치하도록 정합하는 능력"
1382,"가상현실 콘텐츠 콘셉트 기획안에 따라 UI/UX 환경을 제안하고, 제안된 UI/UX 환경에 적합한 사용자 인터페이스(UI)구조를 설계하는 능력"
1383,가상현실에서의 콘텐츠 제어와 조작을 위한 UI/UX 설계 방법과 절차에 대한 이해와 기술을 습득
1384,가상현실에 다양한 기능을 추가하기 위한 유용한 API의 종류와 활용 방법에 대해서 습득
1385,"이용자 환경과 하드웨어, 개발 소프트웨어를 목적에 맞게 사용하여 콘텐츠 발굴과 스토리보드 작성, 콘텐츠 개발을 하기 위한 증강현실 콘텐츠 전반의 과정에 대해 기획하는 능력"
1386,"가상현실 기술을 이해하고 구현하려는 콘텐츠의 특성 및 목적에 따라 적합한 콘텐츠의 컨셉 설계 및 가상현실 스토리텔링을 구현하고, 개발 및 운영을 관리할 수 있는 지식"
1387,"가상현실의 공간 및 아바타와 3D 객체의 배치 및 인터랙션과 활용하고자 하는 디바이스 특징을 고려하고, 콘텐츠의 목적과 내용을 기획하는 능력"
1388,"이용자 환경과 하드웨어, 개발 소프트웨어를 목적에 맞게 사용하여 콘텐츠 발굴과 스토리보드 작성, 콘텐츠 개발을 하기 위한 증강현실 콘텐츠 전반의 과정에 대해 기획하는 능력"
1389,"360 영상 색보정 장비, 벡터스코프 및 웨이브 폼 모니터 사용 능력"
1390,360 영상 스티칭 소프트웨어 활용 능력
1391,360 영상 편집 능력
1392,3차원 영상 연출 능력
1393,스토리보드 작성 능력
1394,인터랙티브 360 영상 제작 능력
1395,"가상현실 콘텐츠 콘셉트 기획안에 따라 UI/UX 환경을 제안하고, 제안된 UI/UX 환경에 적합한 사용자 인터페이스(UI)구조를 설계하는 능력"
1396,가상현실에서의 콘텐츠 제어와 조작을 위한 UI/UX 설계 방법과 절차에 대한 이해와 기술을 습득
1397,가상현실 기술을 체험하는 사용자가 안전하고 효과적으로 몰입할 수 있는 스토리보드 제작 및 제작 후 사용성 평가를 통한 개선 방향 분석을 할 수 있는 지식
1398,"2D 그래픽 소프트웨어를 이용해 콘텐츠의 기획적 특성을 시각화하는 콘셉트 원화를 제작하고, 캐릭터와 배경, GUI(Graphic User Interface) 이미지 리소스를 제작하는 능력"
1399,모델 본 구조 생성 및 리깅 능력
1400,스토리보드에 따른 카메라 워킹 제작 능력
1401,"가상현실 콘텐츠에 활용되는 캐릭터 및 배경 원화 제작, 모델에 사용되는 캐릭터의 이미지 제작, UI 인터페이스 이미지 및 메뉴 디자인을 제작할 수 있는 기술"
1402,머터리얼 및 셰이더 적용 능력
1403,입체 텍스쳐맵 제작 능력
1404,3D 공간을 구성하고 객체 및 캐릭터를 정합하여 사용자 시점 변화에 유기적으로 상호작용할 수 있는 애니메이션을 제작하는 능력
1405,스토리보드에 따른 카메라 워킹 제작 능력
1406,파티클 모델 제작 능력
1407,머터리얼 및 셰이더 적용 능력
1408,모션캡쳐 장비에서 획득된 모션 데이터 및 키프레임을 활용하여 3D 모델 애니메이션을 제작 및 편집할 수 있는 기술
1409,"촬영된 가상현실 영상에 특수효과, 색 보정, 가상 객체 삽입을 통하여 최종 가상현실 영상을 제작할 수 있는 기술"
1410,"카메라 촬영을 통해 현실세계의 영상 데이터를 가공하고, 360도 영상 정합/병합과 이질적 혼합현실 객체 증강 및 공간 스캐닝 활용을 통하여 360도 가상현실 공간을 구체화 하는 능력"
1411,"가상현실 촬영을 위한 기획안을 작성하고, 가상현실 카메라를 선정하여 촬영하고, 촬영된 가상현실 영상을 스티칭하여 360 영상을 제작하는 기술"
1412,가상현실 시스템 개발에 필요한 개발 SDK 및 API 활용 능력
1413,"가상현실 사용자 경험을 제공하는 콘텐츠를 제작하는데 필요한 알고리즘을 개발하고, 사용자와 상호작용할 수 있는 시청각 요소 처리와 인공지능을 구현하며, 이러한 요소들이 최종 플랫폼에서 기획에 맞는 UX를 제공할 수 있도록 각 요소들을 종합하여 프로그래밍으로 구현하는 능력"
1414,"가상현실의 객제, 배경, 이벤트 등 전반적인 콘텐츠를 설계, 프로그래밍하고 외부 API와 네트워크, 데이터 연동 및 멀티플랫폼으로 확장하여 가상현실 콘텐츠를 구현하는 능력"
1415,다양한 감각을 제공하는 하드웨어 및 소프트웨어를 활용하기 위한 개발 API를 분석하고 활용할 수 있는 기술
1416,"가상현실의 객제, 배경, 이벤트 등 전반적인 콘텐츠를 설계, 프로그래밍하고 외부 API와 네트워크, 데이터 연동 및 멀티플랫폼으로 확장하여 가상현실 콘텐츠를 구현하는 능력"
1417,"기획된 콘텐츠에서 사용되는 사용자 인터페이스, 인공지능 알고리즘 개발 및 시나리오에 따른 응용 프로세스를 개발 할 수 있는 기술"
1418,"네트워크를 통한 가상현실 콘텐츠 제작을 위한 통신 모듈을 개발하고, 서버-클라이언트 시스템을 구축할 수 있는 기술"
1419,"온라인을 통한 상호간의 통신이 가능한 서버 프로그래밍을 구현하며, 통신에 대한 안정성 및 효율성을 보장할 수 있도록 프로그래밍을 하는 능력"
1420,포톤을 비롯하여 가상현실 콘텐츠에서 주로 활용되는 네트워크 기능 구현 방법에 대해서 습득
1421,가상현실 콘텐츠 기획을 통해 설계된 콘텐츠의 특성과 설치될 장소와 환경을 고려한 가상현실 하드웨어 시스템 구축 및 데이터베이스와 네트워크를 설계할 수 있는 지식
1422,가상현실 콘텐츠에서 활용하려고 하는 추가의 기능 및 라이브러리등의 시스템적 구성에 대해서 콘텐츠 목적에 맞도록 기획하고 설계하는 능력
1423,콘텐츠 기획을 바탕으로 콘텐츠 개발에 필요한 시스템과 제작 흐름을 기획하고 설계하여 이를 구축하는 능력
1424,기획 의도에 따라 양방향 영상객체 요소를 체험환경과 시청 환경에 최적화하고 다양한 미디어 플랫폼에 활용할 수 있도록 종합 편집하는 능력
1425,가상현실 콘텐츠의 패키징 및 배포 방법과 절차에 대한 방법을 습득함
1426,"가상현실의 객제, 배경, 이벤트 등 전반적인 콘텐츠를 설계, 프로그래밍하고 외부 API와 네트워크, 데이터 연동 및 멀티플랫폼으로 확장하여 가상현실 콘텐츠를 구현하는 능력"
1427,가상현실 월드 NPC 및 몹 행동 설계 능력
1428,가상현실 월드 규칙 명세 작성 능력
1429,가상현실 월드 레벨 디자인 설계 능력
1430,가상현실 월드 규칙 명세 작성 능력
1431,가상현실 콘텐츠 시스템 방향 설정 및 기능 도출 능력
1432,가상현실 콘텐츠 시스템의 부품 및 인지요소 명세 작성 능력
1433,가상현실 콘텐츠의 패키징 및 배포 방법과 절차에 대한 방법을 습득함
1434,"제작이 완료된 가상현실 콘텐츠의 효율적인 사용을 위해서 아카이브 시스템을 설계, 지적재산권을 관리, 콘텐츠를 배포할 수 있는 지식"
1435,"콘텐츠 제공에 필요한 절차인 디지털 저장과 보존, 저작권 관리, 콘텐츠를 배포하는 업무 수행을 통하여 콘텐츠 소비자가 가상현실 콘텐츠를 감상하거나 활용하게 하는 능력"
1436,"가상현실 콘텐츠에서 사용할 수 있는 배경음향 및 효과음을 녹음, 제작 및 마스터링하고, 방향성을 갖는 음향효과를 제작할 수 있는 기술"
1437,"가상현실의 공간내부에 3D 사운드를 포함한 다양한 배경음악, 효과음 등을 추가하거나 제작하는 능력"
1438,"콘텐츠에 필요한 음악과 효과음을 제작하고, 이를 입체적이거나 상호작용이 가능한 리소스로 제작하는 능력"
1439,UI 기획/설계/구현 절차
1440,"증강현실콘텐츠의 이용자 인터페이스를 개발하기 위하여 이용자의 요구사항을 분석하고, 제작하고자 하는 콘텐츠의 특성을 고려한 이용자 시나리오를 제작하여 사용성을 검증하는 능력"
1441,모바일 및 글라스 기기에 있어 콘텐츠 제어와 조작을 위한 UI/UX 설계 방법과 절차에 대한 이해와 기술을 습득
1442,"증강현실 콘텐츠 요구사항을 통한 사용자 시나리오 설계 및 인터페이스를 디자인하고, 제작된 증강현실 콘텐츠의 사용성 평가를 통한 개선 방향 분석을 할 수 있는 지식"
1443,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 2D 그래픽을 디자인, 제작, 검증하는 능력"
1444,"증강현실 콘텐츠에서 활용될 수 있는 메뉴 디자인, 카메라 인식 이미지, 동영상과 관련된 그래픽을 제작할 수 있는 기술"
1445,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 3D 그래픽 디자인, 제작, 검증하는 능력"
1446,"증강현실 콘텐츠의 3D 그래픽 부분에 대한 구현 방법과, UI 에셋 구축 및 활용 방안에 대한 기술을 습득"
1447,"3D 기하학적 모델을 제작하고 텍츠쳐 맵 이미지를 제작하고 UV맵핑하여 3D 모델 생성하며 인간, 동물형 모델일 경우 움직임을 고려한 스켈레톤을 리깅할 수 있는 기술"
1448,설계 모델링 기법에 대한 이해
1449,공간정보 설계와 관련된 표준의 이해
1450,공간정보서비스 연계 및 활용을 위한 아키텍처 분석 능력
1451,공간데이터 저장용량 및 서비스 용량 산정 기술
1452,공간데이터에 대한 이해
1453,공간정보DB 처리 기술
1454,공간데이터 모델링 기술
1455,"제약사항 분석, 정리 기술"
1456,우선순위 선정 능력
1457,"수집된 자료 분류, 분석 능력"
1458,판단 및 의사결정
1459,요구사항 구현 가능성 분석 능력
1460,창의적 생각
1461,프로젝트 수행목표를 분할하고 할당하는 능력
1462,소프트웨어 아키텍처 이해
1463,소프트웨어 개발 도구 사용 기술
1464,개발 환경 소프트웨어
1465,증강현실 콘텐츠에서 제공할 수 있는 다양한 기능과 관련 서비스 구축 사례에 대해서 이해하고 관련 기술을 습득
1466,데이터베이스 이해
1467,"증강현실 콘텐츠, 공간 정보 및 관계 데이터를 저장 및 관리할 수 있도록 데이터베이스 구축 및 시스템 설계, 운영할 수 있는 지식"
1468,"증강현실 콘텐츠의 내부에서 관리하는 데이터와 외부에서 주고 받는 데이터를 구분 정의하고, 해당 데이터의 흐름을 지원하기 위한 다양한 API와 프로토콜을 이해하고 구현하는 기술을 습득"
1469,"콘텐츠의 특성을 파악하여 데이터베이스 구축, 데이터베이스 인터페이스 관리, 오브젝트 데이터 관리를 수행하는 능력"
1470,네트워크 모듈개발 또는 엔진을 활용한 네트워크 기반 증강현실 프로그램 개발 및 서버 구축을 할 수 있는 기술
1471,증강현실 콘텐츠 전송 네트워크 서비스를 제공하기 위하여 서비스 시스템을 구성하고 일반적인 네트워크 프로그래밍·네트워크 서버엔진을 활용한 증강현실에 사용되는 네트워크 시스템을 구축 하는 능력
1472,포톤을 비롯하여 증강현실 콘텐츠에서 주로 활용되는 네트워크 기능 구현 방법에 대해서 습득
1473,"증강 이벤트의 구현에 필요한 대상 오브젝트를 디지털로 변환하기 위해 오브젝트를 선정하고, 촬영ㆍ스캔을 종합적으로 수행하는 능력"
1474,증강현실 콘텐츠에 활용될 수 있는 오브젝트를 생성하기 위하여 촬영 및 스캔하여 증강현실 시스템 활용에 최적화 된 오브젝트를 제작할 수 기술
1475,증강현실 콘텐츠에서 활용될 3D 오브젝트를 스캔 및 촬영하기 위한 스캐너의 종류와 생성된 객체에 대한 가공 및 저장 방법에 대한 이해와 기술을 습득
1476,"실제 물리공간안에 있는 2D, 3D 객체를 인식하여 가상 좌표계를 설정하고 가상 객체를 이미지 및 공간에 배치하여 정합할 수 있는 기술"
1477,"증강현실 콘텐츠 이용자에게 몰입감을 제공하기 위해 실제 물리적 공간 또는 물리적 공간내의 객체를 인식하고 그 위에 가상의 2Dㆍ3D 이미지, 영상의 합성을 통해 3차원 공간에 가상물체가 이질감 없이 부드럽게 일치하도록 정합하는 능력"
1478,"증강현실 콘텐츠에서 주로 활용되는 마커, 이미지, 제스쳐 인식 방법과 이를 구현하기 위한 다양한 라이브러리와 개발 방법에 대해서 이해하고 기능별 구현 기술을 습득"
1479,증강현실 콘텐츠에서 제공할 수 있는 다양한 기능과 관련 서비스 구축 사례에 대해서 이해하고 관련 기술을 습득
1480,프로그램 언어 작성 능력
1481,"증강현실 콘텐츠에 필요한 기능을 설계하고 증강현실 구현에 필요한 오브젝트 관련 기능, 2Dㆍ3D 인식ㆍ정합 기능을 통합ㆍ개발하여 증강현실 콘텐츠를 구현하는 능력"
1482,"증강현실 오브젝트, 그래픽 및 인식 정합 기술을 활용하여 증강현실 콘텐츠를 프로그래밍 할 수 있는 기술"
1483,소프트웨어 아키텍처 이해
1484,소프트웨어 개발 도구 사용 기술
1485,개발 환경 소프트웨어
1486,증강현실 콘텐츠에서 제공할 수 있는 다양한 기능과 관련 서비스 구축 사례에 대해서 이해하고 관련 기술을 습득
1487,데이터베이스 이해
1488,"증강현실 콘텐츠, 공간 정보 및 관계 데이터를 저장 및 관리할 수 있도록 데이터베이스 구축 및 시스템 설계, 운영할 수 있는 지식"
1489,"증강현실 콘텐츠의 내부에서 관리하는 데이터와 외부에서 주고 받는 데이터를 구분 정의하고, 해당 데이터의 흐름을 지원하기 위한 다양한 API와 프로토콜을 이해하고 구현하는 기술을 습득"
1490,"콘텐츠의 특성을 파악하여 데이터베이스 구축, 데이터베이스 인터페이스 관리, 오브젝트 데이터 관리를 수행하는 능력"
1491,네트워크 모듈개발 또는 엔진을 활용한 네트워크 기반 증강현실 프로그램 개발 및 서버 구축을 할 수 있는 기술
1492,증강현실 콘텐츠 전송 네트워크 서비스를 제공하기 위하여 서비스 시스템을 구성하고 일반적인 네트워크 프로그래밍·네트워크 서버엔진을 활용한 증강현실에 사용되는 네트워크 시스템을 구축 하는 능력
1493,포톤을 비롯하여 증강현실 콘텐츠에서 주로 활용되는 네트워크 기능 구현 방법에 대해서 습득
1494,설계 모델링 기법에 대한 이해
1495,공간정보 설계와 관련된 표준의 이해
1496,공간정보서비스 연계 및 활용을 위한 아키텍처 분석 능력
1497,공간데이터 저장용량 및 서비스 용량 산정 기술
1498,공간데이터에 대한 이해
1499,공간정보DB 처리 기술
1500,공간데이터 모델링 기술
1501,설계 모델링 기법에 대한 이해
1502,공간정보 설계와 관련된 표준의 이해
1503,공간정보서비스 연계 및 활용을 위한 아키텍처 분석 능력
1504,공간데이터 저장용량 및 서비스 용량 산정 기술
1505,공간데이터에 대한 이해
1506,공간정보DB 처리 기술
1507,공간데이터 모델링 기술
1508,"증강 이벤트의 구현에 필요한 대상 오브젝트를 디지털로 변환하기 위해 오브젝트를 선정하고, 촬영ㆍ스캔을 종합적으로 수행하는 능력"
1509,증강현실 콘텐츠에 활용될 수 있는 오브젝트를 생성하기 위하여 촬영 및 스캔하여 증강현실 시스템 활용에 최적화 된 오브젝트를 제작할 수 기술
1510,증강현실 콘텐츠에서 활용될 3D 오브젝트를 스캔 및 촬영하기 위한 스캐너의 종류와 생성된 객체에 대한 가공 및 저장 방법에 대한 이해와 기술을 습득
1511,"실제 물리공간안에 있는 2D, 3D 객체를 인식하여 가상 좌표계를 설정하고 가상 객체를 이미지 및 공간에 배치하여 정합할 수 있는 기술"
1512,"증강현실 콘텐츠 이용자에게 몰입감을 제공하기 위해 실제 물리적 공간 또는 물리적 공간내의 객체를 인식하고 그 위에 가상의 2Dㆍ3D 이미지, 영상의 합성을 통해 3차원 공간에 가상물체가 이질감 없이 부드럽게 일치하도록 정합하는 능력"
1513,"증강현실 콘텐츠에서 주로 활용되는 마커, 이미지, 제스쳐 인식 방법과 이를 구현하기 위한 다양한 라이브러리와 개발 방법에 대해서 이해하고 기능별 구현 기술을 습득"
1514,증강현실 콘텐츠에서 제공할 수 있는 다양한 기능과 관련 서비스 구축 사례에 대해서 이해하고 관련 기술을 습득
1515,프로그램 언어 작성 능력
1516,"증강현실 콘텐츠에 필요한 기능을 설계하고 증강현실 구현에 필요한 오브젝트 관련 기능, 2Dㆍ3D 인식ㆍ정합 기능을 통합ㆍ개발하여 증강현실 콘텐츠를 구현하는 능력"
1517,"증강현실 오브젝트, 그래픽 및 인식 정합 기술을 활용하여 증강현실 콘텐츠를 프로그래밍 할 수 있는 기술"
1518,계획 및 일정 관리 도구 활용 능력
1519,"이용자 환경과 하드웨어, 개발 소프트웨어를 목적에 맞게 사용하여 콘텐츠 발굴과 스토리보드 작성, 콘텐츠 개발을 하기 위한 증강현실 콘텐츠 전반의 과정에 대해 기획하는 능력"
1520,"증강현실이 적용되는 실제공간 환경 분석을 기반으로 한 콘텐츠 기획서 및 스토리보드를 작성하고, 콘텐츠 개발 및 운영을 관리할 수 있는 지식"
1521,"사용하고자 하는 디바이스 특징을 고려하고, 사용자의 특성과 연령층을 고려하여 콘텐츠를 통해서 제공하고자 하는 목적과 내용을 기획하는 방법을 습득"
1522,계획 및 일정 관리 도구 활용 능력
1523,소프트웨어 개발 표준지식
1524,SQL 문법
1525,"증강현실 콘텐츠, 공간 정보 및 관계 데이터를 저장 및 관리할 수 있도록 데이터베이스 구축 및 시스템 설계, 운영할 수 있는 지식"
1526,"증강현실 콘텐츠의 내부에서 관리하는 데이터와 외부에서 주고 받는 데이터를 구분 정의하고, 해당 데이터의 흐름을 지원하기 위한 다양한 API와 프로토콜을 이해하고 구현하는 기술을 습득"
1527,"콘텐츠의 특성을 파악하여 데이터베이스 구축, 데이터베이스 인터페이스 관리, 오브젝트 데이터 관리를 수행하는 능력"
1528,설계 모델링 기법에 대한 이해
1529,공간정보 설계와 관련된 표준의 이해
1530,공간정보서비스 연계 및 활용을 위한 아키텍처 분석 능력
1531,공간데이터 저장용량 및 서비스 용량 산정 기술
1532,공간데이터에 대한 이해
1533,공간정보DB 처리 기술
1534,공간데이터 모델링 기술
1535,UI 기획/설계/구현 절차
1536,"증강현실콘텐츠의 이용자 인터페이스를 개발하기 위하여 이용자의 요구사항을 분석하고, 제작하고자 하는 콘텐츠의 특성을 고려한 이용자 시나리오를 제작하여 사용성을 검증하는 능력"
1537,모바일 및 글라스 기기에 있어 콘텐츠 제어와 조작을 위한 UI/UX 설계 방법과 절차에 대한 이해와 기술을 습득
1538,"증강현실 콘텐츠 요구사항을 통한 사용자 시나리오 설계 및 인터페이스를 디자인하고, 제작된 증강현실 콘텐츠의 사용성 평가를 통한 개선 방향 분석을 할 수 있는 지식"
1539,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 2D 그래픽을 디자인, 제작, 검증하는 능력"
1540,"증강현실 콘텐츠에서 활용될 수 있는 메뉴 디자인, 카메라 인식 이미지, 동영상과 관련된 그래픽을 제작할 수 있는 기술"
1541,"현실세계에서 구현하고자하는 가상그래픽을 사용자가 체험할 수 있도록 3D 그래픽 디자인, 제작, 검증하는 능력"
1542,"증강현실 콘텐츠의 3D 그래픽 부분에 대한 구현 방법과, UI 에셋 구축 및 활용 방안에 대한 기술을 습득"
1543,"3D 기하학적 모델을 제작하고 텍츠쳐 맵 이미지를 제작하고 UV맵핑하여 3D 모델 생성하며 인간, 동물형 모델일 경우 움직임을 고려한 스켈레톤을 리깅할 수 있는 기술"
1544,계획 및 일정 관리 도구 활용 능력
1545,"이용자 환경과 하드웨어, 개발 소프트웨어를 목적에 맞게 사용하여 콘텐츠 발굴과 스토리보드 작성, 콘텐츠 개발을 하기 위한 증강현실 콘텐츠 전반의 과정에 대해 기획하는 능력"
1546,"증강현실이 적용되는 실제공간 환경 분석을 기반으로 한 콘텐츠 기획서 및 스토리보드를 작성하고, 콘텐츠 개발 및 운영을 관리할 수 있는 지식"
1547,"사용하고자 하는 디바이스 특징을 고려하고, 사용자의 특성과 연령층을 고려하여 콘텐츠를 통해서 제공하고자 하는 목적과 내용을 기획하는 방법을 습득"
1548,계획 및 일정 관리 도구 활용 능력
1549,소프트웨어 개발 표준지식
1550,SQL 문법
1551,"증강현실 콘텐츠, 공간 정보 및 관계 데이터를 저장 및 관리할 수 있도록 데이터베이스 구축 및 시스템 설계, 운영할 수 있는 지식"
1552,"증강현실 콘텐츠의 내부에서 관리하는 데이터와 외부에서 주고 받는 데이터를 구분 정의하고, 해당 데이터의 흐름을 지원하기 위한 다양한 API와 프로토콜을 이해하고 구현하는 기술을 습득"
1553,"콘텐츠의 특성을 파악하여 데이터베이스 구축, 데이터베이스 인터페이스 관리, 오브젝트 데이터 관리를 수행하는 능력"
1554,"증강 이벤트의 구현에 필요한 대상 오브젝트를 디지털로 변환하기 위해 오브젝트를 선정하고, 촬영ㆍ스캔을 종합적으로 수행하는 능력"
1555,증강현실 콘텐츠에 활용될 수 있는 오브젝트를 생성하기 위하여 촬영 및 스캔하여 증강현실 시스템 활용에 최적화 된 오브젝트를 제작할 수 기술
1556,증강현실 콘텐츠에서 활용될 3D 오브젝트를 스캔 및 촬영하기 위한 스캐너의 종류와 생성된 객체에 대한 가공 및 저장 방법에 대한 이해와 기술을 습득
1557,"실제 물리공간안에 있는 2D, 3D 객체를 인식하여 가상 좌표계를 설정하고 가상 객체를 이미지 및 공간에 배치하여 정합할 수 있는 기술"
1558,"증강현실 콘텐츠 이용자에게 몰입감을 제공하기 위해 실제 물리적 공간 또는 물리적 공간내의 객체를 인식하고 그 위에 가상의 2Dㆍ3D 이미지, 영상의 합성을 통해 3차원 공간에 가상물체가 이질감 없이 부드럽게 일치하도록 정합하는 능력"
1559,"증강현실 콘텐츠에서 주로 활용되는 마커, 이미지, 제스쳐 인식 방법과 이를 구현하기 위한 다양한 라이브러리와 개발 방법에 대해서 이해하고 기능별 구현 기술을 습득"
1560,증강현실 콘텐츠에서 제공할 수 있는 다양한 기능과 관련 서비스 구축 사례에 대해서 이해하고 관련 기술을 습득
1561,프로그램 언어 작성 능력
1562,"증강현실 콘텐츠에 필요한 기능을 설계하고 증강현실 구현에 필요한 오브젝트 관련 기능, 2Dㆍ3D 인식ㆍ정합 기능을 통합ㆍ개발하여 증강현실 콘텐츠를 구현하는 능력"
1563,"증강현실 오브젝트, 그래픽 및 인식 정합 기술을 활용하여 증강현실 콘텐츠를 프로그래밍 할 수 있는 기술"
